791.50,-6.84,597.66,14.60,11.24,-9.39
880.37,72.27,454.10,0.67,0.57,-3.70
880.86,22.95,463.38,-5.32,-3.62,-1.48
881.84,-13.18,472.17,0.54,-4.05,-7.66
836.91,-221.68,573.24,12.94,6.29,-3.53
1023.44,-150.88,368.16,11.55,-7.81,15.79
815.43,-847.17,362.30,32.66,-4.85,23.21
-196.78,-1415.53,-979.00,57.76,-0.42,47.48
1105.47,331.05,1099.12,68.92,9.08,35.70
834.47,405.76,422.36,56.05,-5.37,28.52
119.63,-912.11,291.50,9.14,-1.44,15.04
912.60,278.81,425.29,-6.78,-15.96,-3.05
1150.88,11.23,54.20,-12.54,-5.85,17.15
1310.06,-80.08,110.84,2.03,1.80,-24.88
523.44,-488.77,492.68,0.30,7.94,-42.65
458.98,28.81,581.54,-9.60,29.07,-28.67
934.57,114.26,458.98,-4.81,16.01,-33.38
695.80,779.30,275.88,3.35,-0.27,-6.10
1110.35,-242.19,862.30,-22.53,-3.12,-11.52
993.65,-91.31,229.00,14.73,-0.38,-3.98
1355.47,490.23,224.61,2.34,-37.86,18.44
802.73,-431.15,-1004.88,-3.72,-29.83,17.90
533.69,352.05,-1221.68,-15.66,-49.96,37.50
688.48,353.52,-1509.77,0.76,-77.00,36.74
848.14,430.18,210.45,-5.61,-30.70,28.39
898.44,-235.84,-77.15,2.74,-7.90,-15.64
812.01,153.81,1725.10,25.79,53.08,-8.98
647.95,-100.10,1661.13,-49.70,-1.96,17.08
885.25,-2.44,461.43,-20.50,16.43,0.69
912.60,-20.02,399.41,-13.98,-9.02,-1.60
919.92,-23.44,370.61,-29.71,-13.47,9.00
